No,landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,green,blue,yellow,white,black,orange,red
1,6,3,1,1,1,2,1,1,4,1,1,1,1,1,1,2,2,2,1,0,1,1,1,0,1,1
2,5,1,13,10,4,4,1,3,3,2,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,0
3,4,3,1,1,1,2,1,1,5,1,2,2,2,1,1,1,2,1,1,1,1,1,1,0,1,1
4,1,4,3,1,1,2,1,3,2,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0
5,3,1,8,9,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
6,4,2,7,4,6,4,1,3,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,0,1
7,5,1,9,3,5,3,1,3,3,1,1,1,1,2,1,2,1,1,1,0,1,0,1,1,0,1
8,3,1,1,1,4,1,2,1,3,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,0,1
9,4,1,10,5,3,2,3,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,1
10,4,4,3,2,1,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
11,5,1,1,1,6,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0,1
12,4,4,7,4,3,3,3,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,1
13,4,1,12,4,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
14,6,2,1,1,6,2,1,3,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,0,0
15,2,3,13,8,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
16,3,4,2,1,4,2,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
17,4,4,6,2,6,4,1,5,2,1,1,1,2,2,1,1,1,1,1,0,1,0,1,0,0,1
18,2,4,5,3,2,1,1,1,2,1,1,1,3,3,1,1,1,1,1,0,1,0,1,0,0,1
19,5,1,2,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
20,1,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,1,0
21,3,4,5,3,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
22,4,2,3,2,6,2,1,4,5,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1
23,1,4,1,1,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,0,1,1,0,1,0,0
24,4,4,8,6,1,4,1,3,3,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1
25,3,1,1,1,6,1,2,1,2,1,2,1,1,1,1,1,2,1,1,0,0,0,1,1,0,1
26,1,4,1,1,1,2,1,1,4,1,1,1,1,3,1,2,1,1,1,1,0,1,1,1,0,1
27,4,2,9,5,6,4,1,5,4,1,1,1,1,2,1,2,2,2,1,1,0,1,1,1,0,1
28,4,1,10,3,6,4,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1
29,1,4,1,1,1,2,1,1,2,2,1,1,1,4,1,2,1,2,1,1,0,1,0,0,0,1
30,4,4,12,5,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
31,4,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
32,5,1,13,10,5,5,1,1,1,1,1,1,1,4,1,1,1,1,1,0,0,1,0,0,0,1
33,6,3,1,1,1,2,1,1,3,2,2,2,2,4,1,1,1,1,1,0,1,1,1,0,0,1
34,6,2,13,7,1,2,1,1,2,1,2,2,2,4,1,1,1,1,1,0,1,0,1,0,0,1
35,3,1,9,4,6,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
36,3,1,2,1,4,1,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
37,1,4,3,3,2,1,1,4,2,1,1,1,1,2,1,2,1,1,1,0,1,0,1,0,0,1
38,1,4,13,8,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1,0,0,1
39,1,4,4,1,1,2,1,2,6,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
40,5,1,3,3,5,3,1,2,3,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1
41,1,4,1,1,1,2,1,1,5,1,2,2,2,1,1,1,2,2,1,1,1,1,1,0,1,1
42,3,1,4,6,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
43,4,4,4,2,4,4,2,2,3,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1
44,1,4,1,1,1,2,1,1,5,1,3,2,2,1,1,1,2,2,1,1,1,1,1,1,0,1
45,1,4,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0
46,4,1,13,7,5,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,0,0,1,0,0,1
47,4,2,2,1,3,3,1,1,1,1,1,1,1,3,2,1,1,1,1,1,0,0,1,0,0,0
48,4,4,8,4,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
49,4,4,12,3,5,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,0,0,0,0
50,4,4,5,3,1,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
51,2,4,12,8,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
52,6,1,9,9,6,1,1,1,3,1,1,1,1,3,1,2,1,1,1,0,1,1,1,0,0,1
53,5,1,11,8,6,4,1,1,2,1,1,1,2,5,1,1,2,2,1,0,1,0,1,0,0,1
54,3,1,10,9,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
55,6,1,1,1,6,2,1,1,2,1,1,1,1,2,1,1,2,1,1,0,1,0,1,0,0,0
56,3,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
57,3,1,5,4,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
58,5,1,5,2,6,4,1,1,3,3,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1
59,1,4,13,9,2,1,3,1,3,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1
60,2,4,11,7,2,1,1,3,5,1,1,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1
61,1,4,1,1,1,2,1,1,5,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,0,1
62,2,4,8,2,1,4,1,1,4,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1
63,4,2,11,6,6,4,1,4,4,1,1,1,1,2,1,2,2,1,1,1,0,1,1,1,0,1
64,4,1,13,7,5,3,1,3,3,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0,1
65,5,1,7,9,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
66,4,2,9,3,6,4,1,1,2,1,1,1,1,2,1,1,2,2,1,1,0,1,0,0,0,1
67,3,1,6,6,6,5,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
68,4,2,2,2,1,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
69,6,2,4,1,1,2,1,1,3,1,1,1,1,4,1,2,1,1,1,1,1,1,1,0,0,0
70,2,3,9,5,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
71,3,4,10,8,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
72,2,3,11,6,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,0,1,0,1,0,0,1
73,2,4,6,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
74,6,1,2,1,6,2,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,0,1,0,0,0
75,4,1,11,4,6,3,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,0
76,1,4,13,1,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
77,1,4,1,1,1,2,1,1,5,1,2,2,2,1,1,1,2,2,2,1,1,1,1,0,1,1
78,5,1,7,7,6,4,1,1,2,1,1,1,1,3,2,1,1,1,1,0,1,0,1,0,1,0
79,4,2,11,8,6,4,1,1,3,2,1,1,1,1,1,1,2,2,1,1,0,1,0,0,1,1
80,4,2,10,2,6,4,1,4,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
81,1,4,4,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
82,5,1,7,5,5,3,1,3,3,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,0,1
83,5,1,7,6,5,3,1,3,3,1,1,1,1,3,1,1,1,1,1,1,0,0,1,1,0,1
84,4,1,6,3,3,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,1
85,3,1,3,2,4,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,0,1,1,0,0,0
86,5,1,12,8,4,3,1,3,2,1,1,1,1,1,1,1,2,1,2,1,0,0,1,0,0,1
87,4,4,10,7,5,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,1
88,1,4,1,1,1,2,4,1,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,0
89,3,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,0,0,1,1,0,0,1
90,3,1,10,5,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
91,6,3,1,1,1,2,1,1,3,2,2,2,2,5,1,1,1,1,1,0,1,0,1,0,0,1
92,3,1,7,6,4,2,1,5,1,1,2,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0
93,3,1,5,6,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
94,5,1,4,7,5,4,1,1,2,2,1,1,2,2,1,1,1,1,1,0,1,0,1,0,0,1
95,6,2,13,10,6,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
96,4,4,2,1,4,1,2,2,4,1,1,1,1,2,1,1,1,2,1,1,0,1,0,1,1,1
97,4,1,12,4,3,3,1,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
98,4,2,11,4,6,4,3,1,3,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,1
99,5,1,3,1,6,3,1,1,3,1,1,1,1,1,1,2,2,2,2,0,0,1,1,1,0,1
100,5,1,10,6,5,3,1,3,3,1,1,1,1,3,1,1,1,1,1,1,0,0,1,1,0,1
101,6,2,10,3,1,4,1,1,3,1,1,1,1,4,1,2,1,2,1,0,0,1,1,1,0,1
102,4,2,11,7,6,4,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,0
103,2,3,12,4,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
104,4,1,4,1,3,3,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,0,1,0,0,1
105,3,1,9,9,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
106,4,1,11,9,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
107,2,4,5,1,4,2,1,4,3,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,0,1
108,5,1,7,4,6,4,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,0,0,1
109,6,2,1,1,1,2,1,1,4,1,2,2,2,4,1,1,1,1,1,0,1,1,1,0,0,1
110,1,4,5,3,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
111,1,4,6,5,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
112,1,4,1,1,4,2,1,2,2,1,1,1,1,4,1,1,1,1,1,0,1,0,1,0,0,1
113,5,1,10,9,6,4,1,4,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
114,5,1,9,10,6,6,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,1,0,0,1
115,1,4,1,1,1,2,1,1,5,2,2,2,2,3,1,1,2,2,2,1,1,1,1,0,1,1
116,5,1,3,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
117,5,1,11,7,6,3,1,3,4,1,1,1,1,2,1,1,2,1,1,1,0,1,1,1,0,1
118,1,4,1,1,1,2,1,1,5,2,1,1,1,4,1,1,1,2,1,1,1,1,1,1,0,1
119,1,4,3,3,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,0,1,0,1,0,0
120,2,3,10,3,2,1,1,3,5,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,0,1
121,2,4,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1,0,1
122,2,3,13,10,4,1,1,1,3,2,1,1,1,5,1,1,1,1,2,1,1,1,1,0,0,0
123,4,1,4,1,6,4,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,0,1
124,4,4,9,5,3,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
125,5,1,8,2,5,3,1,2,2,1,1,1,1,1,1,1,2,1,1,1,0,0,1,0,0,1
126,4,1,5,3,3,6,1,4,3,1,1,1,2,2,1,1,1,1,1,1,0,1,1,0,0,1
127,6,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,2,2,1,0,1,1,1,0,0,1
128,2,3,7,3,2,1,1,5,2,1,1,1,2,2,1,1,1,1,1,0,1,1,1,0,0,0
129,1,4,6,6,2,5,1,4,2,1,1,1,1,2,1,2,1,1,1,0,1,0,1,0,0,1
130,1,4,6,4,2,1,1,3,1,1,1,1,1,4,1,1,1,1,1,0,1,0,1,0,0,0
131,6,2,8,3,1,2,1,1,2,1,2,2,2,3,1,1,1,1,1,0,1,0,1,0,0,1
132,3,4,8,9,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,0,1,0,1,0,0,1
133,3,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
134,6,2,3,2,1,2,1,1,5,1,3,2,2,1,1,1,2,2,1,1,1,1,1,0,1,1
135,3,1,8,8,4,5,3,1,5,1,1,1,1,3,1,1,2,2,2,1,1,1,1,0,1,1
136,3,1,4,3,4,5,1,1,2,1,1,1,1,2,1,1,1,2,1,0,0,1,0,1,0,1
137,4,1,11,9,5,3,1,3,3,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,0,1
138,5,1,6,3,5,3,1,3,3,1,1,1,1,2,1,2,1,1,1,1,0,0,1,1,0,1
139,4,2,4,4,6,4,3,1,3,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,1
140,5,1,5,2,5,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
141,3,1,6,5,4,5,1,3,4,1,1,1,1,2,1,1,2,2,1,1,1,1,1,0,0,1
142,4,1,12,8,6,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
143,4,2,4,2,6,4,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1
144,5,1,11,9,4,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,1,0,0,0
145,1,4,1,1,1,2,1,1,5,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,1
146,3,1,1,1,4,1,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,1
147,5,1,13,10,4,5,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0,1,0,0,0,1
148,3,1,7,7,4,5,1,1,2,1,1,1,1,1,1,2,1,1,1,0,1,0,1,0,0,1
149,3,4,6,1,4,2,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
150,1,4,7,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
151,1,4,13,10,1,2,1,5,2,1,1,1,2,5,1,1,1,1,1,0,1,0,1,0,0,1
152,2,3,12,6,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
153,6,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,1,1
154,4,2,12,8,4,2,1,3,4,1,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1
155,4,2,12,5,6,4,1,2,2,1,1,1,1,2,1,1,2,1,1,0,0,1,0,1,0,1
156,6,3,2,1,3,1,1,3,4,2,1,1,1,2,1,1,2,1,1,0,1,1,1,1,0,1
157,4,1,10,7,6,4,1,4,3,2,1,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1
158,4,1,1,1,4,1,1,3,3,1,1,1,1,3,1,2,1,1,1,1,0,1,0,1,0,1
159,4,1,8,6,6,4,1,5,4,2,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,1
160,4,4,8,5,3,4,1,2,2,1,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,1
161,2,3,3,1,1,2,1,1,5,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,0,1
162,4,1,12,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
163,3,4,6,6,4,1,1,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1
164,3,1,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
165,5,1,9,6,6,3,1,5,3,1,1,1,2,2,2,1,1,1,1,0,1,1,1,0,0,1
166,5,1,9,9,6,5,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0,0,1
167,1,4,5,4,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
168,5,1,4,4,6,6,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,0
169,5,1,7,7,6,5,1,4,2,2,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,1
170,6,3,2,1,1,2,1,1,2,1,1,1,2,4,1,1,1,1,1,0,1,0,1,0,0,1
171,3,1,9,8,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
172,5,1,2,4,5,4,1,1,5,2,2,2,2,1,1,1,2,2,2,1,1,1,1,0,1,1
173,5,1,5,7,6,4,2,1,3,1,1,1,1,1,1,1,2,2,1,1,0,1,0,0,1,0
174,1,4,1,1,1,2,1,2,4,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,0,1
175,3,1,6,7,4,5,1,3,2,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,0,1
176,5,1,3,3,5,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
177,5,1,6,8,6,6,1,1,3,2,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0,1
178,6,2,3,1,4,2,1,1,3,1,1,1,1,1,1,2,1,2,1,1,0,1,0,1,0,1
179,4,2,4,4,6,4,1,1,2,2,1,2,1,3,1,1,1,1,1,1,0,0,1,0,0,1
180,4,2,8,2,6,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
181,4,2,10,5,6,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
182,5,1,13,5,5,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,0,1,0,0,0
183,2,3,13,8,2,1,1,3,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,0,0
184,5,1,12,3,6,5,3,1,2,3,1,1,1,2,2,2,2,1,1,0,1,1,0,0,0,1
185,3,1,8,8,4,5,1,3,3,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,0,1
186,1,4,4,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
187,5,1,8,3,6,5,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
188,3,1,9,4,4,2,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
189,3,1,5,5,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
190,5,1,2,3,5,4,1,2,1,1,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,1
191,3,1,5,4,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
192,6,2,2,1,6,2,1,1,1,1,2,1,2,1,1,1,1,1,1,0,0,0,1,0,0,1
193,4,1,7,5,5,3,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,1,0,0,1
194,5,1,11,9,6,3,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,0,1
